1	A	3402	0.001	5.0	1.5	0.9	n	n	n
2	B	2381	0.001	5.0	1.5	0.9	n	n	n
3	C	1626	0.001	5.0	1.5	0.9	n	n	n
4	D	1378	0.001	5.0	1.5	0.9	n	n	n
5	E	2453	0.001	5.0	1.5	0.9	n	n	n
6	F	654	0.001	5.0	1.5	0.9	n	n	n
7	G	783	0.001	5.0	1.5	0.9	n	n	n
8	H	2608	0.001	5.0	1.5	0.9	n	n	n
9	I	683	0.001	5.0	1.5	0.9	n	n	n
10	J	1301	0.001	5.0	1.5	0.9	n	n	n
11	K	1982	0.001	5.0	1.5	0.9	n	n	n
12	L	4574	0.001	5.0	1.5	0.9	n	n	n
13	M	4425	0.001	5.0	1.5	0.9	n	n	n
14	N	2467	0.001	5.0	1.5	0.9	n	n	n
15	O	4461	0.001	5.0	1.5	0.9	n	n	n
16	P	3299	0.001	5.0	1.5	0.9	n	n	n
17	Q	2132	0.001	5.0	1.5	0.9	n	n	n
18	R	2249	0.001	5.0	1.5	0.9	n	n	n
19	S	1262	0.001	5.0	1.5	0.9	n	n	n
20	T	4336	0.001	5.0	1.5	0.9	n	n	n
21	U	11889	0.001	5.0	1.5	0.9	n	n	n
22	V	400	0.001	5.0	1.5	0.9	p	n	n
